CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12346.0,326,1,77183.6,1,1,5,7,2,Loyal Customers
12747.0,2,11,4196.01,5,4,5,14,1,Champions
12748.0,1,209,32448.84,5,4,5,14,1,Champions
12749.0,4,5,4090.88,5,3,5,13,1,Champions
12820.0,3,4,942.34,5,3,4,12,3,Potential Loyalists
12821.0,214,1,92.72,1,1,1,3,0,At Risk
12822.0,71,2,948.88,3,1,4,8,2,Loyal Customers
12823.0,75,5,1759.5,2,3,4,9,2,Loyal Customers
12824.0,60,1,397.12,3,1,2,6,0,At Risk
12826.0,3,7,1474.72,5,4,4,13,1,Champions
12827.0,6,3,430.15000000000003,5,2,2,9,3,Potential Loyalists
12828.0,3,6,1018.71,5,3,4,12,1,Champions
12829.0,337,2,293.0,1,1,2,4,0,At Risk
12830.0,38,6,6814.64,3,3,5,11,2,Loyal Customers
12831.0,262,1,215.05,1,1,1,3,0,At Risk
12832.0,32,2,383.03,4,1,2,7,3,Potential Loyalists
12833.0,145,1,417.38,2,1,2,5,0,At Risk
12834.0,283,1,312.38,1,1,2,4,0,At Risk
12836.0,59,4,2597.76,3,3,5,11,2,Loyal Customers
12837.0,173,1,134.1,2,1,1,4,0,At Risk
12838.0,34,2,648.23,3,1,3,7,3,Potential Loyalists
12839.0,3,14,5576.52,5,4,5,14,1,Champions
12840.0,144,4,2726.77,2,3,5,10,2,Loyal Customers
12841.0,5,25,3982.83,5,4,5,14,1,Champions
12842.0,70,2,1118.99,3,1,4,8,2,Loyal Customers
12843.0,66,8,1674.3700000000001,3,4,4,11,2,Loyal Customers
12844.0,29,2,317.41,4,1,2,7,3,Potential Loyalists
12845.0,267,4,354.09,1,3,2,6,0,At Risk
12847.0,22,1,757.98,4,1,3,8,3,Potential Loyalists
12849.0,31,2,997.6899999999999,4,1,4,9,2,Loyal Customers
12851.0,97,1,126.16,2,1,1,4,0,At Risk
12852.0,295,1,311.55,1,1,2,4,0,At Risk
12853.0,135,6,1957.1000000000001,2,3,5,10,2,Loyal Customers
12854.0,79,3,1305.85,2,2,4,8,2,Loyal Customers
12855.0,373,1,38.1,1,1,1,3,0,At Risk
12856.0,8,6,2112.33,5,3,5,13,1,Champions
12857.0,211,2,1106.4,1,1,4,6,2,Loyal Customers
12863.0,52,1,521.2,3,1,3,7,0,At Risk
12864.0,138,1,147.12,2,1,1,4,0,At Risk
12867.0,26,7,3936.71,4,4,5,13,1,Champions
12868.0,186,6,1607.0600000000002,1,3,4,8,2,Loyal Customers
12871.0,84,2,380.64,2,1,2,5,0,At Risk
12872.0,327,2,599.97,1,1,3,5,0,At Risk
12873.0,282,1,374.0,1,1,2,4,0,At Risk
12875.0,143,2,343.2300000000001,2,1,2,5,0,At Risk
12877.0,4,12,1535.77,5,4,4,13,1,Champions
12878.0,236,2,854.99,1,1,3,5,0,At Risk
